Year,Units,Value
2011,Difficulty Finding Child Care By Race/ Ethnicity,
2012,Difficulty Finding Child Care By Race/ Ethnicity,
2013,Difficulty Finding Child Care By Race/ Ethnicity,
2014,Difficulty Finding Child Care By Race/ Ethnicity,
2015,Difficulty Finding Child Care By Race/ Ethnicity,
2016,Difficulty Finding Child Care By Race/ Ethnicity,
2017,Difficulty Finding Child Care By Race/ Ethnicity,
2018,Difficulty Finding Child Care By Race/ Ethnicity,
2011,Difficulty Finding Child Care By Race/ Ethnicity,
2012,Difficulty Finding Child Care By Race/ Ethnicity,
2013,Difficulty Finding Child Care By Race/ Ethnicity,
2014,Difficulty Finding Child Care By Race/ Ethnicity,
2015,Difficulty Finding Child Care By Race/ Ethnicity,
2016,Difficulty Finding Child Care By Race/ Ethnicity,
2017,Difficulty Finding Child Care By Race/ Ethnicity,
2018,Difficulty Finding Child Care By Race/ Ethnicity,
2011,Difficulty Finding Child Care By Race/ Ethnicity,
2012,Difficulty Finding Child Care By Race/ Ethnicity,
2013,Difficulty Finding Child Care By Race/ Ethnicity,
2014,Difficulty Finding Child Care By Race/ Ethnicity,
2015,Difficulty Finding Child Care By Race/ Ethnicity,
2016,Difficulty Finding Child Care By Race/ Ethnicity,
2017,Difficulty Finding Child Care By Race/ Ethnicity,
2018,Difficulty Finding Child Care By Race/ Ethnicity,
2011,Difficulty Finding Child Care By Race/ Ethnicity,
2012,Difficulty Finding Child Care By Race/ Ethnicity,
2013,Difficulty Finding Child Care By Race/ Ethnicity,
2014,Difficulty Finding Child Care By Race/ Ethnicity,
2015,Difficulty Finding Child Care By Race/ Ethnicity,
2016,Difficulty Finding Child Care By Race/ Ethnicity,
2017,Difficulty Finding Child Care By Race/ Ethnicity,
2018,Difficulty Finding Child Care By Race/ Ethnicity,
2011,Difficulty Finding Child Care By Education,
2012,Difficulty Finding Child Care By Education,
2013,Difficulty Finding Child Care By Education,
2014,Difficulty Finding Child Care By Education,
2015,Difficulty Finding Child Care By Education,
2016,Difficulty Finding Child Care By Education,
2017,Difficulty Finding Child Care By Education,
2018,Difficulty Finding Child Care By Education,
2011,Difficulty Finding Child Care By Education,
2012,Difficulty Finding Child Care By Education,
2013,Difficulty Finding Child Care By Education,
2014,Difficulty Finding Child Care By Education,
2015,Difficulty Finding Child Care By Education,
2016,Difficulty Finding Child Care By Education,
2017,Difficulty Finding Child Care By Education,
2018,Difficulty Finding Child Care By Education,
2011,Difficulty Finding Child Care By Education,
2012,Difficulty Finding Child Care By Education,
2013,Difficulty Finding Child Care By Education,
2014,Difficulty Finding Child Care By Education,
2015,Difficulty Finding Child Care By Education,
2016,Difficulty Finding Child Care By Education,
2017,Difficulty Finding Child Care By Education,
2018,Difficulty Finding Child Care By Education,
2011,Difficulty Finding Child Care By Education,
2012,Difficulty Finding Child Care By Education,
2013,Difficulty Finding Child Care By Education,
2014,Difficulty Finding Child Care By Education,
2015,Difficulty Finding Child Care By Education,
2016,Difficulty Finding Child Care By Education,
2017,Difficulty Finding Child Care By Education,
2018,Difficulty Finding Child Care By Education,
2011,Difficulty Finding Child Care By Federal Poverty Level,
2012,Difficulty Finding Child Care By Federal Poverty Level,
2013,Difficulty Finding Child Care By Federal Poverty Level,
2014,Difficulty Finding Child Care By Federal Poverty Level,
2015,Difficulty Finding Child Care By Federal Poverty Level,
2016,Difficulty Finding Child Care By Federal Poverty Level,
2017,Difficulty Finding Child Care By Federal Poverty Level,
2018,Difficulty Finding Child Care By Federal Poverty Level,
2011,Difficulty Finding Child Care By Federal Poverty Level,
2012,Difficulty Finding Child Care By Federal Poverty Level,
2013,Difficulty Finding Child Care By Federal Poverty Level,
2014,Difficulty Finding Child Care By Federal Poverty Level,
2015,Difficulty Finding Child Care By Federal Poverty Level,
2016,Difficulty Finding Child Care By Federal Poverty Level,
2017,Difficulty Finding Child Care By Federal Poverty Level,
2018,Difficulty Finding Child Care By Federal Poverty Level,
2011,Difficulty Finding Child Care By Federal Poverty Level,
2012,Difficulty Finding Child Care By Federal Poverty Level,
2013,Difficulty Finding Child Care By Federal Poverty Level,
2014,Difficulty Finding Child Care By Federal Poverty Level,
2015,Difficulty Finding Child Care By Federal Poverty Level,
2016,Difficulty Finding Child Care By Federal Poverty Level,
2017,Difficulty Finding Child Care By Federal Poverty Level,
2018,Difficulty Finding Child Care By Federal Poverty Level,
2011,Difficulty Finding Child Care By Federal Poverty Level,
2012,Difficulty Finding Child Care By Federal Poverty Level,
2013,Difficulty Finding Child Care By Federal Poverty Level,
2014,Difficulty Finding Child Care By Federal Poverty Level,
2015,Difficulty Finding Child Care By Federal Poverty Level,
2016,Difficulty Finding Child Care By Federal Poverty Level,
2017,Difficulty Finding Child Care By Federal Poverty Level,
2018,Difficulty Finding Child Care By Federal Poverty Level,
