Year,Units,Value
2012,High school graduate or higher,75.3
2012,Bachelor's degree or higher,31.5
2013,High school graduate or higher,74.6
2013,Bachelor's degree or higher,31.4
2014,High school graduate or higher,76.1
2014,Bachelor's degree or higher,32.3
2015,High school graduate or higher,76.4
2015,Bachelor's degree or higher,32.6
2016,High school graduate or higher,76.5
2016,Bachelor's degree or higher,32.8
2017,High school graduate or higher,77.6
2017,Bachelor's degree or higher,34.4
2018,High school graduate or higher,77.6
2018,Bachelor's degree or higher,34.5
2019,High school graduate or higher,78.5
2019,Bachelor's degree or higher,35.9
