Year,Units,Value
2013,GHG efficiency (metric tons per million dollars),32.76
2014,GHG efficiency (metric tons per million dollars),34.45
2015,GHG efficiency (metric tons per million dollars),31.53
2016,GHG efficiency (metric tons per million dollars),27.3
2017,GHG efficiency (metric tons per million dollars),26.18
2013,GHG emissions by sector (million metric tons),27.91
2014,GHG emissions by sector (million metric tons),31.07
2015,GHG emissions by sector (million metric tons),30.49
2016,GHG emissions by sector (million metric tons),27.2
2017,GHG emissions by sector (million metric tons),27.32
